Data,ID_Transacao,Produto,Categoria,Região,Quantidade,Preço_Unitário,Receita_Total
2024-11-09,T-202411-0042,Webcam HD,Periféricos,Norte,8,356.26,2850.08
2024-11-24,T-202411-0043,Carregador Portátil,Acessórios,Sul,4,66.05,264.2
2024-11-23,T-202411-0044,Smartphone Pro,Eletrônicos,Centro-Oeste,7,1921.4,13449.8
2024-11-11,T-202411-0045,HD Externo,Periféricos,Centro-Oeste,5,679.35,3396.75
2024-11-20,T-202411-0046,Mouse Óptico,Acessórios,Sudeste,10,104.97,1049.7
2024-11-28,T-202411-0047,Smartphone Pro,Eletrônicos,Nordeste,4,1299.83,5199.32
2024-11-25,T-202411-0048,Impressora Laser,Periféricos,Centro-Oeste,1,368.73,368.73
2024-11-21,T-202411-0049,Mouse Óptico,Acessórios,Norte,2,42.39,84.78
2024-11-12,T-202411-0050,Mouse Óptico,Acessórios,Norte,5,79.17,395.85
2024-11-15,T-202411-0051,Impressora Laser,Periféricos,Nordeste,10,472.95,4729.5
2024-11-16,T-202411-0052,HD Externo,Periféricos,Nordeste,1,593.54,593.54
2024-11-25,T-202411-0053,HD Externo,Periféricos,Norte,5,368.68,1843.4
2024-11-14,T-202411-0054,Impressora Laser,Periféricos,Norte,1,418.38,418.38
2024-11-22,T-202411-0055,Teclado Mecânico,Acessórios,Norte,9,116.03,1044.27
2024-11-28,T-202411-0056,Tablet Mini,Eletrônicos,Norte,6,2603.46,15620.76
2024-11-15,T-202411-0057,Carregador Portátil,Acessórios,Centro-Oeste,8,52.88,423.04
2024-11-17,T-202411-0058,Impressora Laser,Periféricos,Sudeste,9,401.78,3616.02
2024-11-17,T-202411-0059,Impressora Laser,Periféricos,Norte,5,395.5,1977.5
2024-11-29,T-202411-0060,Impressora Laser,Periféricos,Sul,9,743.89,6695.01
2024-11-10,T-202411-0061,Laptop X1,Eletrônicos,Centro-Oeste,1,1265.57,1265.57
2024-11-11,T-202411-0062,Webcam HD,Periféricos,Sudeste,6,620.3,3721.8
2024-11-12,T-202411-0063,Impressora Laser,Periféricos,Sul,10,299.68,2996.8
2024-11-18,T-202411-0064,HD Externo,Periféricos,Centro-Oeste,3,396.8,1190.4
2024-11-29,T-202411-0065,Teclado Mecânico,Acessórios,Sudeste,1,129.38,129.38
2024-11-10,T-202411-0066,Smartphone Pro,Eletrônicos,Sul,9,1786.1,16074.9
2024-11-06,T-202411-0067,Carregador Portátil,Acessórios,Norte,4,44.01,176.04
2024-11-21,T-202411-0068,Câmera Digital,Eletrônicos,Nordeste,1,1420.1,1420.1
2024-11-10,T-202411-0069,Smartphone Pro,Eletrônicos,Sudeste,5,2110.83,10554.15
2024-11-07,T-202411-0070,Laptop X1,Eletrônicos,Sul,1,1312.16,1312.16
2024-11-05,T-202411-0071,Laptop X1,Eletrônicos,Nordeste,2,1387.56,2775.12
2024-11-09,T-202411-0072,Mouse Óptico,Acessórios,Sul,8,74.43,595.44
2024-11-04,T-202411-0073,Impressora Laser,Periféricos,Sudeste,5,395.27,1976.35
2024-11-12,T-202411-0074,Tablet Mini,Eletrônicos,Sul,1,1812.54,1812.54
2024-11-21,T-202411-0075,Câmera Digital,Eletrônicos,Sul,6,2954.25,17725.5
2024-11-25,T-202411-0076,Webcam HD,Periféricos,Centro-Oeste,6,466.38,2798.28
2024-11-30,T-202411-0077,Fone de Ouvido Bluetooth,Acessórios,Sul,3,91.34,274.02
2024-11-09,T-202411-0078,HD Externo,Periféricos,Sudeste,9,422.02,3798.18
2024-11-04,T-202411-0079,Smartphone Pro,Eletrônicos,Norte,1,2735.76,2735.76
2024-11-09,T-202411-0080,Câmera Digital,Eletrônicos,Norte,2,1631.97,3263.94
2024-11-05,T-202411-0081,Laptop X1,Eletrônicos,Nordeste,9,2447.56,22028.04
2024-11-01,T-202411-0082,Mouse Óptico,Acessórios,Sul,6,67.37,404.22
2024-11-01,T-202411-0083,Teclado Mecânico,Acessórios,Norte,8,73.13,585.04
2024-11-15,T-202411-0084,Fone de Ouvido Bluetooth,Acessórios,Sul,3,61.71,185.13
2024-11-30,T-202411-0085,Monitor 4K,Periféricos,Sul,1,496.09,496.09
2024-11-21,T-202411-0086,Tablet Mini,Eletrônicos,Norte,1,2473.4,2473.4
2024-11-05,T-202411-0087,Webcam HD,Periféricos,Nordeste,1,276.68,276.68
2024-11-16,T-202411-0088,Câmera Digital,Eletrônicos,Centro-Oeste,9,2900.2,26101.8
2024-11-27,T-202411-0089,Teclado Mecânico,Acessórios,Nordeste,5,50.49,252.45
2024-11-14,T-202411-0090,Fone de Ouvido Bluetooth,Acessórios,Norte,5,62.98,314.9
2024-11-15,T-202411-0091,Câmera Digital,Eletrônicos,Norte,5,2975.46,14877.3
2024-11-18,T-202411-0092,Mouse Óptico,Acessórios,Sul,9,81.36,732.24
2024-11-03,T-202411-0093,Câmera Digital,Eletrônicos,Nordeste,4,2819.95,11279.8
2024-11-09,T-202411-0094,Webcam HD,Periféricos,Sul,7,479.97,3359.79
2024-11-03,T-202411-0095,Fone de Ouvido Bluetooth,Acessórios,Sudeste,10,44.9,449.0
2024-11-24,T-202411-0096,Impressora Laser,Periféricos,Norte,8,593.77,4750.16
2024-11-17,T-202411-0097,Tablet Mini,Eletrônicos,Centro-Oeste,9,1492.83,13435.47
2024-11-17,T-202411-0098,Teclado Mecânico,Acessórios,Norte,2,113.22,226.44
2024-11-11,T-202411-0099,Teclado Mecânico,Acessórios,Sudeste,10,101.04,1010.4
2024-11-03,T-202411-0100,Fone de Ouvido Bluetooth,Acessórios,Nordeste,2,92.85,185.7
2024-11-12,T-202411-0101,Mouse Óptico,Acessórios,Nordeste,6,143.17,859.02
2024-11-11,T-202411-0102,Smartphone Pro,Eletrônicos,Norte,5,1553.57,7767.85
2024-11-26,T-202411-0103,Laptop X1,Eletrônicos,Nordeste,4,2058.69,8234.76
2024-11-08,T-202411-0104,Fone de Ouvido Bluetooth,Acessórios,Sudeste,10,70.93,709.3
2024-11-06,T-202411-0105,Monitor 4K,Periféricos,Sudeste,10,704.44,7044.4
2024-11-12,T-202411-0106,Carregador Portátil,Acessórios,Nordeste,8,51.94,415.52
2024-11-26,T-202411-0107,Smartphone Pro,Eletrônicos,Norte,3,1338.22,4014.66
2024-11-09,T-202411-0108,Tablet Mini,Eletrônicos,Norte,1,1642.45,1642.45
2024-11-01,T-202411-0109,Monitor 4K,Periféricos,Centro-Oeste,1,376.39,376.39
2024-11-23,T-202411-0110,Impressora Laser,Periféricos,Norte,8,548.72,4389.76
2024-11-29,T-202411-0111,Fone de Ouvido Bluetooth,Acessórios,Nordeste,3,72.7,218.1
2024-11-24,T-202411-0112,HD Externo,Periféricos,Centro-Oeste,3,563.99,1691.97
2024-11-30,T-202411-0113,Impressora Laser,Periféricos,Centro-Oeste,3,616.11,1848.33
2024-11-05,T-202411-0114,Webcam HD,Periféricos,Centro-Oeste,7,265.35,1857.45
2024-11-05,T-202411-0115,Câmera Digital,Eletrônicos,Sul,8,2520.56,20164.48
2024-11-26,T-202411-0116,Smartphone Pro,Eletrônicos,Centro-Oeste,5,1219.26,6096.3
2024-11-26,T-202411-0117,Teclado Mecânico,Acessórios,Nordeste,2,69.65,139.3
2024-11-30,T-202411-0118,Tablet Mini,Eletrônicos,Norte,8,2045.15,16361.2
2024-11-09,T-202411-0119,HD Externo,Periféricos,Sul,6,360.87,2165.22
2024-11-29,T-202411-0120,Smartphone Pro,Eletrônicos,Centro-Oeste,2,1634.73,3269.46
2024-11-30,T-202411-0121,Monitor 4K,Periféricos,Centro-Oeste,5,304.39,1521.95
2024-11-19,T-202411-0122,Tablet Mini,Eletrônicos,Sul,10,1527.98,15279.8
2024-11-11,T-202411-0123,Carregador Portátil,Acessórios,Sul,8,104.18,833.44
2024-11-04,T-202411-0124,Mouse Óptico,Acessórios,Sul,6,50.06,300.36
2024-11-29,T-202411-0125,Mouse Óptico,Acessórios,Norte,4,60.41,241.64
2024-11-14,T-202411-0126,Monitor 4K,Periféricos,Nordeste,2,286.29,572.58
2024-11-21,T-202411-0127,Teclado Mecânico,Acessórios,Norte,4,110.41,441.64
2024-11-12,T-202411-0128,Monitor 4K,Periféricos,Sul,8,629.68,5037.44
2024-11-01,T-202411-0129,Impressora Laser,Periféricos,Sudeste,2,225.08,450.16
2024-11-06,T-202411-0130,HD Externo,Periféricos,Centro-Oeste,4,412.01,1648.04
2024-11-16,T-202411-0131,Monitor 4K,Periféricos,Nordeste,10,280.76,2807.6
2024-11-14,T-202411-0132,Fone de Ouvido Bluetooth,Acessórios,Sul,6,148.26,889.56
2024-11-21,T-202411-0133,HD Externo,Periféricos,Centro-Oeste,5,388.09,1940.45
2024-11-13,T-202411-0134,Laptop X1,Eletrônicos,Centro-Oeste,2,2818.12,5636.24
2024-11-05,T-202411-0135,Tablet Mini,Eletrônicos,Nordeste,10,2224.86,22248.6
2024-11-21,T-202411-0136,Laptop X1,Eletrônicos,Sudeste,8,1964.74,15717.92
2024-11-22,T-202411-0137,Tablet Mini,Eletrônicos,Sudeste,3,1995.15,5985.45
2024-11-25,T-202411-0138,Teclado Mecânico,Acessórios,Norte,8,145.88,1167.04
2024-11-11,T-202411-0139,HD Externo,Periféricos,Nordeste,9,419.99,3779.91
2024-11-13,T-202411-0140,HD Externo,Periféricos,Sudeste,9,424.84,3823.56
2024-11-16,T-202411-0141,Câmera Digital,Eletrônicos,Nordeste,5,2326.17,11630.85
2024-11-13,T-202411-0142,Monitor 4K,Periféricos,Nordeste,1,505.14,505.14
2024-11-18,T-202411-0143,Monitor 4K,Periféricos,Nordeste,3,616.66,1849.98
2024-11-24,T-202411-0144,Tablet Mini,Eletrônicos,Sul,6,1763.44,10580.64
2024-11-06,T-202411-0145,Mouse Óptico,Acessórios,Norte,2,61.21,122.42
2024-11-13,T-202411-0146,Carregador Portátil,Acessórios,Sudeste,10,47.84,478.4
2024-11-25,T-202411-0147,Monitor 4K,Periféricos,Centro-Oeste,1,400.07,400.07
2024-11-15,T-202411-0148,Teclado Mecânico,Acessórios,Sul,7,81.52,570.64
2024-11-15,T-202411-0149,Impressora Laser,Periféricos,Norte,4,723.4,2893.6
2024-11-28,T-202411-0150,Webcam HD,Periféricos,Centro-Oeste,9,325.08,2925.72
2024-11-21,T-202411-0151,Teclado Mecânico,Acessórios,Nordeste,7,137.6,963.2
2024-11-08,T-202411-0152,Câmera Digital,Eletrônicos,Centro-Oeste,3,2406.82,7220.46
2024-11-05,T-202411-0153,Mouse Óptico,Acessórios,Sudeste,7,127.51,892.57
2024-11-16,T-202411-0154,Teclado Mecânico,Acessórios,Centro-Oeste,2,128.03,256.06
2024-11-22,T-202411-0155,Mouse Óptico,Acessórios,Sudeste,7,95.69,669.83
2024-11-04,T-202411-0156,Monitor 4K,Periféricos,Norte,1,633.34,633.34
2024-11-16,T-202411-0157,Fone de Ouvido Bluetooth,Acessórios,Nordeste,7,82.54,577.78
2024-11-26,T-202411-0158,Tablet Mini,Eletrônicos,Nordeste,1,2828.21,2828.21
2024-11-02,T-202411-0159,Smartphone Pro,Eletrônicos,Sul,8,2031.13,16249.04
2024-11-17,T-202411-0160,Tablet Mini,Eletrônicos,Sudeste,3,2374.76,7124.28
2024-11-23,T-202411-0161,Impressora Laser,Periféricos,Norte,2,405.2,810.4
2024-11-12,T-202411-0162,Laptop X1,Eletrônicos,Sul,9,2357.99,21221.91
2024-11-19,T-202411-0163,Teclado Mecânico,Acessórios,Nordeste,9,53.36,480.24
2024-11-19,T-202411-0164,Tablet Mini,Eletrônicos,Norte,5,2573.06,12865.3
2024-11-05,T-202411-0165,Impressora Laser,Periféricos,Sudeste,5,425.29,2126.45
2024-11-11,T-202411-0166,Fone de Ouvido Bluetooth,Acessórios,Centro-Oeste,1,85.64,85.64
2024-11-28,T-202411-0167,Câmera Digital,Eletrônicos,Norte,6,2592.13,15552.78
2024-11-14,T-202411-0168,Teclado Mecânico,Acessórios,Centro-Oeste,2,88.95,177.9
2024-11-03,T-202411-0169,Monitor 4K,Periféricos,Sudeste,7,666.76,4667.32
2024-11-19,T-202411-0170,Mouse Óptico,Acessórios,Nordeste,9,110.32,992.88
2024-11-13,T-202411-0171,Câmera Digital,Eletrônicos,Sul,4,2884.77,11539.08
2024-11-06,T-202411-0172,HD Externo,Periféricos,Centro-Oeste,8,658.75,5270.0
2024-11-22,T-202411-0173,Fone de Ouvido Bluetooth,Acessórios,Sul,1,100.33,100.33
2024-11-07,T-202411-0174,Tablet Mini,Eletrônicos,Norte,7,2724.44,19071.08
2024-11-30,T-202411-0175,Teclado Mecânico,Acessórios,Sudeste,3,54.26,162.78
2024-11-10,T-202411-0176,Carregador Portátil,Acessórios,Centro-Oeste,9,77.33,695.97
2024-11-03,T-202411-0177,Impressora Laser,Periféricos,Sudeste,10,500.49,5004.9
2024-11-15,T-202411-0178,HD Externo,Periféricos,Norte,8,383.95,3071.6
2024-11-09,T-202411-0179,Tablet Mini,Eletrônicos,Centro-Oeste,7,2602.86,18220.02
2024-11-18,T-202411-0180,Carregador Portátil,Acessórios,Nordeste,1,142.8,142.8
2024-11-09,T-202411-0181,Câmera Digital,Eletrônicos,Centro-Oeste,3,1402.68,4208.04
2024-11-17,T-202411-0182,Carregador Portátil,Acessórios,Nordeste,4,35.52,142.08
2024-11-22,T-202411-0183,HD Externo,Periféricos,Sul,2,607.98,1215.96
2024-11-20,T-202411-0184,HD Externo,Periféricos,Sul,10,319.36,3193.6
2024-11-25,T-202411-0185,Monitor 4K,Periféricos,Centro-Oeste,1,705.34,705.34
2024-11-22,T-202411-0186,HD Externo,Periféricos,Sudeste,9,475.19,4276.71
2024-11-20,T-202411-0187,HD Externo,Periféricos,Nordeste,7,228.06,1596.42
2024-11-12,T-202411-0188,Laptop X1,Eletrônicos,Norte,10,1430.29,14302.9
2024-11-14,T-202411-0189,Impressora Laser,Periféricos,Nordeste,4,473.13,1892.52
2024-11-21,T-202411-0190,Carregador Portátil,Acessórios,Norte,5,93.48,467.4
2024-11-05,T-202411-0191,Carregador Portátil,Acessórios,Nordeste,8,116.09,928.72
2024-11-23,T-202411-0192,Impressora Laser,Periféricos,Norte,8,349.81,2798.48
2024-11-23,T-202411-0193,Laptop X1,Eletrônicos,Sudeste,7,1654.54,11581.78
2024-11-23,T-202411-0194,Mouse Óptico,Acessórios,Norte,2,30.26,60.52
2024-11-01,T-202411-0195,Monitor 4K,Periféricos,Norte,9,364.87,3283.83
2024-11-24,T-202411-0196,Impressora Laser,Periféricos,Centro-Oeste,6,227.03,1362.18
2024-11-06,T-202411-0197,Impressora Laser,Periféricos,Nordeste,10,646.81,6468.1
2024-11-24,T-202411-0198,Webcam HD,Periféricos,Nordeste,9,266.73,2400.57
2024-11-27,T-202411-0199,Carregador Portátil,Acessórios,Norte,2,103.89,207.78
2024-11-24,T-202411-0200,Smartphone Pro,Eletrônicos,Norte,5,1601.69,8008.45
