Data,ID_Transacao,Produto,Categoria,Região,Quantidade,Preço_Unitário,Receita_Total
2024-02-16,T-24020026,HD Externo 2TB,Armazenamento,Sudeste,6,"R$ 616,83","R$ 3.700,98"
2024-02-10,T-24020027,Câmera Full HD,Eletrônicos,Centro-Oeste,6,"R$ 5.762,17","R$ 34.573,02"
2024-02-23,T-24020028,Caixa de Som Bluetooth,Áudio e Vídeo,Sudeste,2,"R$ 407,43","R$ 814,86"
2024-02-22,T-24020029,Hub USB-C,Acessórios,Nordeste,3,"R$ 228,82","R$ 686,46"
2024-02-02,T-24020030,Placa de Vídeo Xtreme,Eletrônicos,Sudeste,7,"R$ 6.881,10","R$ 48.167,70"
2024-02-10,T-24020031,Caixa de Som Bluetooth,Áudio e Vídeo,Sul,8,"R$ 203,14","R$ 1.625,12"
2024-02-04,T-24020032,Cabo HDMI 2m,Acessórios,Sudeste,8,"R$ 285,90","R$ 2.287,20"
2024-02-17,T-24020033,Impressora Wi-Fi,Periféricos,Sudeste,9,"R$ 1.134,43","R$ 10.209,87"
2024-02-27,T-24020034,Tablet Vision 10,Eletrônicos,Sudeste,6,"R$ 2.781,61","R$ 16.689,66"
2024-02-02,T-24020035,Notebook Pro Z3,Eletrônicos,Norte,6,"R$ 2.359,75","R$ 14.158,50"
2024-02-16,T-24020036,Tablet Vision 10,Eletrônicos,Sul,7,"R$ 4.911,25","R$ 34.378,75"
2024-02-11,T-24020037,Tablet Vision 10,Eletrônicos,Norte,9,"R$ 1.619,56","R$ 14.576,04"
2024-02-05,T-24020038,Headset Gamer,Áudio e Vídeo,Sudeste,3,"R$ 634,58","R$ 1.903,74"
2024-02-02,T-24020039,Caixa de Som Bluetooth,Áudio e Vídeo,Centro-Oeste,6,"R$ 408,55","R$ 2.451,30"
2024-02-03,T-24020040,Câmera Full HD,Eletrônicos,Sudeste,2,"R$ 3.553,23","R$ 7.106,46"
2024-02-01,T-24020041,Headset Gamer,Áudio e Vídeo,Sudeste,10,"R$ 784,19","R$ 7.841,90"
2024-02-23,T-24020042,Teclado Wireless,Periféricos,Nordeste,3,"R$ 258,71","R$ 776,13"
2024-02-03,T-24020043,Mouse Óptico,Acessórios,Norte,8,"R$ 242,17","R$ 1.937,36"
2024-02-24,T-24020044,Impressora Wi-Fi,Periféricos,Sudeste,6,"R$ 905,97","R$ 5.435,82"
2024-02-06,T-24020045,SSD Externo 1TB,Armazenamento,Sul,3,"R$ 359,95","R$ 1.079,85"
2024-02-06,T-24020046,Teclado Wireless,Periféricos,Sul,6,"R$ 408,09","R$ 2.448,54"
2024-02-26,T-24020047,SSD Externo 1TB,Armazenamento,Nordeste,5,"R$ 873,87","R$ 4.369,35"
2024-02-17,T-24020048,Impressora Wi-Fi,Periféricos,Sul,8,"R$ 799,37","R$ 6.394,96"
2024-02-14,T-24020049,Smartwatch Alpha,Eletrônicos,Nordeste,2,"R$ 4.205,20","R$ 8.410,40"
2024-02-28,T-24020050,HD Externo 2TB,Armazenamento,Nordeste,7,"R$ 737,20","R$ 5.160,40"
2024-02-26,T-24020051,Hub USB-C,Acessórios,Sudeste,9,"R$ 63,99","R$ 575,91"
2024-02-28,T-24020052,Notebook Pro Z3,Eletrônicos,Sul,5,"R$ 1.778,61","R$ 8.893,05"
2024-02-15,T-24020053,Mouse Óptico,Acessórios,Sudeste,9,"R$ 224,56","R$ 2.021,04"
2024-02-10,T-24020054,SSD Externo 1TB,Armazenamento,Nordeste,7,"R$ 566,97","R$ 3.968,79"
2024-02-06,T-24020055,Placa de Vídeo Xtreme,Eletrônicos,Norte,2,"R$ 6.734,46","R$ 13.468,92"
2024-02-14,T-24020056,Placa de Vídeo Xtreme,Eletrônicos,Sul,1,"R$ 5.922,49","R$ 5.922,49"
2024-02-12,T-24020057,Notebook Pro Z3,Eletrônicos,Nordeste,8,"R$ 4.851,98","R$ 38.815,84"
2024-02-24,T-24020058,Mouse Gamer RGB,Acessórios,Nordeste,2,"R$ 147,39","R$ 294,78"
2024-02-16,T-24020059,Mouse Gamer RGB,Acessórios,Centro-Oeste,10,"R$ 194,72","R$ 1.947,20"
2024-02-01,T-24020060,Hub USB-C,Acessórios,Sudeste,6,"R$ 56,69","R$ 340,14"
2024-02-14,T-24020061,Monitor 4K,Eletrônicos,Centro-Oeste,6,"R$ 1.528,35","R$ 9.170,10"
2024-02-26,T-24020062,Smartwatch Alpha,Eletrônicos,Centro-Oeste,8,"R$ 6.390,90","R$ 51.127,20"
2024-02-15,T-24020063,Notebook Pro Z3,Eletrônicos,Nordeste,1,"R$ 6.755,52","R$ 6.755,52"
2024-02-23,T-24020064,Monitor 4K,Eletrônicos,Sul,7,"R$ 6.287,54","R$ 44.012,78"
2024-02-23,T-24020065,Notebook Pro Z3,Eletrônicos,Norte,8,"R$ 6.804,01","R$ 54.432,08"
2024-02-20,T-24020066,SSD Externo 1TB,Armazenamento,Norte,9,"R$ 478,05","R$ 4.302,45"
2024-02-24,T-24020067,Teclado Wireless,Periféricos,Sul,2,"R$ 1.285,44","R$ 2.570,88"
2024-02-24,T-24020068,Notebook Pro Z3,Eletrônicos,Centro-Oeste,5,"R$ 2.950,42","R$ 14.752,10"
2024-02-09,T-24020069,Caixa de Som Bluetooth,Áudio e Vídeo,Norte,3,"R$ 465,38","R$ 1.396,14"
2024-02-26,T-24020070,Tablet Vision 10,Eletrônicos,Norte,7,"R$ 5.509,92","R$ 38.569,44"
2024-02-16,T-24020071,Headset Gamer,Áudio e Vídeo,Sudeste,8,"R$ 259,67","R$ 2.077,36"
2024-02-15,T-24020072,Mouse Gamer RGB,Acessórios,Nordeste,3,"R$ 120,12","R$ 360,36"
2024-02-20,T-24020073,Teclado Wireless,Periféricos,Sudeste,8,"R$ 1.300,58","R$ 10.404,64"
2024-02-20,T-24020074,Teclado Wireless,Periféricos,Norte,3,"R$ 877,44","R$ 2.632,32"
2024-02-26,T-24020075,Tablet Vision 10,Eletrônicos,Sul,9,"R$ 6.457,75","R$ 58.119,75"
2024-02-26,T-24020076,Teclado Wireless,Periféricos,Centro-Oeste,1,"R$ 488,95","R$ 488,95"
2024-02-04,T-24020077,Mouse Gamer RGB,Acessórios,Sudeste,1,"R$ 90,88","R$ 90,88"
2024-02-04,T-24020078,Teclado Wireless,Periféricos,Sudeste,9,"R$ 442,18","R$ 3.979,62"
2024-02-18,T-24020079,Smartwatch Alpha,Eletrônicos,Sul,3,"R$ 3.731,93","R$ 11.195,79"
2024-02-14,T-24020080,Impressora Wi-Fi,Periféricos,Nordeste,5,"R$ 996,87","R$ 4.984,35"
2024-02-24,T-24020081,SSD Externo 1TB,Armazenamento,Centro-Oeste,5,"R$ 808,50","R$ 4.042,50"
2024-02-12,T-24020082,Fone Bluetooth,Áudio e Vídeo,Norte,2,"R$ 756,73","R$ 1.513,46"
2024-02-26,T-24020083,Teclado Mecânico,Periféricos,Nordeste,1,"R$ 961,81","R$ 961,81"
2024-02-18,T-24020084,Webcam 1080p,Periféricos,Sudeste,5,"R$ 594,41","R$ 2.972,05"
2024-02-23,T-24020085,Fone Bluetooth,Áudio e Vídeo,Centro-Oeste,5,"R$ 766,09","R$ 3.830,45"
2024-02-11,T-24020086,Impressora Wi-Fi,Periféricos,Norte,2,"R$ 1.272,42","R$ 2.544,84"
2024-02-19,T-24020087,Teclado Mecânico,Periféricos,Nordeste,10,"R$ 239,19","R$ 2.391,90"
2024-02-06,T-24020088,Cabo HDMI 2m,Acessórios,Sudeste,1,"R$ 295,02","R$ 295,02"
2024-02-26,T-24020089,Smartwatch Alpha,Eletrônicos,Sudeste,5,"R$ 6.864,35","R$ 34.321,75"
2024-02-25,T-24020090,Fone Bluetooth,Áudio e Vídeo,Nordeste,2,"R$ 394,51","R$ 789,02"
2024-02-25,T-24020091,Mouse Gamer RGB,Acessórios,Nordeste,5,"R$ 249,71","R$ 1.248,55"
2024-02-16,T-24020092,Webcam 1080p,Periféricos,Sudeste,3,"R$ 688,42","R$ 2.065,26"
2024-02-06,T-24020093,Caixa de Som Bluetooth,Áudio e Vídeo,Nordeste,5,"R$ 537,71","R$ 2.688,55"
2024-02-05,T-24020094,Monitor 4K,Eletrônicos,Sul,9,"R$ 2.029,43","R$ 18.264,87"
2024-02-17,T-24020095,Fone Bluetooth,Áudio e Vídeo,Nordeste,2,"R$ 548,64","R$ 1.097,28"
2024-02-12,T-24020096,Monitor 4K,Eletrônicos,Sul,9,"R$ 5.301,27","R$ 47.711,43"
2024-02-23,T-24020097,Webcam 1080p,Periféricos,Sudeste,2,"R$ 1.191,10","R$ 2.382,20"
2024-02-05,T-24020098,HD Externo 2TB,Armazenamento,Norte,7,"R$ 677,09","R$ 4.739,63"
2024-02-04,T-24020099,Teclado Wireless,Periféricos,Sudeste,9,"R$ 1.432,74","R$ 12.894,66"
2024-02-14,T-24020100,Teclado Wireless,Periféricos,Nordeste,2,"R$ 255,13","R$ 510,26"
2024-02-16,T-24020101,Mouse Óptico,Acessórios,Sul,10,"R$ 116,86","R$ 1.168,60"
2024-02-23,T-24020102,Caixa de Som Bluetooth,Áudio e Vídeo,Centro-Oeste,6,"R$ 409,36","R$ 2.456,16"
2024-02-08,T-24020103,Monitor 4K,Eletrônicos,Sul,7,"R$ 945,61","R$ 6.619,27"
2024-02-03,T-24020104,HD Externo 2TB,Armazenamento,Sul,2,"R$ 771,02","R$ 1.542,04"
2024-02-25,T-24020105,Mouse Gamer RGB,Acessórios,Centro-Oeste,7,"R$ 152,06","R$ 1.064,42"
2024-02-17,T-24020106,Mouse Óptico,Acessórios,Sul,4,"R$ 277,21","R$ 1.108,84"
2024-02-07,T-24020107,Impressora Wi-Fi,Periféricos,Sul,4,"R$ 924,45","R$ 3.697,80"
2024-02-22,T-24020108,Câmera Full HD,Eletrônicos,Sul,4,"R$ 2.887,15","R$ 11.548,60"
2024-02-26,T-24020109,Tablet Vision 10,Eletrônicos,Nordeste,5,"R$ 3.728,98","R$ 18.644,90"
2024-02-28,T-24020110,Teclado Mecânico,Periféricos,Nordeste,2,"R$ 1.246,36","R$ 2.492,72"
2024-02-01,T-24020111,Teclado Mecânico,Periféricos,Centro-Oeste,1,"R$ 1.443,97","R$ 1.443,97"
2024-02-23,T-24020112,HD Externo 2TB,Armazenamento,Norte,7,"R$ 418,05","R$ 2.926,35"
2024-02-01,T-24020113,Webcam 1080p,Periféricos,Nordeste,5,"R$ 610,62","R$ 3.053,10"
2024-02-01,T-24020114,Mouse Óptico,Acessórios,Sudeste,9,"R$ 199,63","R$ 1.796,67"
2024-02-09,T-24020115,Headset Gamer,Áudio e Vídeo,Norte,10,"R$ 630,45","R$ 6.304,50"
2024-02-19,T-24020116,Cabo HDMI 2m,Acessórios,Nordeste,1,"R$ 165,91","R$ 165,91"
2024-02-16,T-24020117,Impressora Wi-Fi,Periféricos,Sudeste,6,"R$ 1.293,84","R$ 7.763,04"
2024-02-14,T-24020118,Notebook Pro Z3,Eletrônicos,Sudeste,4,"R$ 6.001,22","R$ 24.004,88"
2024-02-09,T-24020119,SSD Externo 1TB,Armazenamento,Centro-Oeste,10,"R$ 949,53","R$ 9.495,30"
2024-02-22,T-24020120,Mouse Gamer RGB,Acessórios,Sudeste,6,"R$ 109,99","R$ 659,94"
2024-02-15,T-24020121,Hub USB-C,Acessórios,Nordeste,3,"R$ 131,58","R$ 394,74"
2024-02-26,T-24020122,Caixa de Som Bluetooth,Áudio e Vídeo,Norte,7,"R$ 232,27","R$ 1.625,89"
2024-02-02,T-24020123,Notebook Pro Z3,Eletrônicos,Centro-Oeste,4,"R$ 2.184,81","R$ 8.739,24"
2024-02-04,T-24020124,Tablet Vision 10,Eletrônicos,Sudeste,5,"R$ 6.178,76","R$ 30.893,80"
2024-02-26,T-24020125,Placa de Vídeo Xtreme,Eletrônicos,Sul,10,"R$ 2.818,14","R$ 28.181,40"
2024-02-05,T-24020126,Caixa de Som Bluetooth,Áudio e Vídeo,Sudeste,4,"R$ 254,29","R$ 1.017,16"
2024-02-28,T-24020127,HD Externo 2TB,Armazenamento,Sudeste,9,"R$ 873,65","R$ 7.862,85"
2024-02-01,T-24020128,Notebook X1,Eletrônicos,Norte,1,"R$ 2.446,62","R$ 2.446,62"
2024-02-20,T-24020129,HD Externo 2TB,Armazenamento,Sudeste,5,"R$ 723,33","R$ 3.616,65"
2024-02-03,T-24020130,Cabo HDMI 2m,Acessórios,Sul,9,"R$ 90,76","R$ 816,84"
2024-02-05,T-24020131,Mouse Gamer RGB,Acessórios,Centro-Oeste,1,"R$ 133,98","R$ 133,98"
2024-02-22,T-24020132,Mouse Gamer RGB,Acessórios,Centro-Oeste,7,"R$ 251,17","R$ 1.758,19"
2024-02-05,T-24020133,Notebook X1,Eletrônicos,Nordeste,4,"R$ 6.328,21","R$ 25.312,84"
2024-02-28,T-24020134,Mouse Gamer RGB,Acessórios,Sudeste,2,"R$ 275,11","R$ 550,22"
2024-02-13,T-24020135,Placa de Vídeo Xtreme,Eletrônicos,Norte,6,"R$ 2.433,84","R$ 14.603,04"
2024-02-27,T-24020136,Mouse Óptico,Acessórios,Norte,2,"R$ 234,97","R$ 469,94"
2024-02-26,T-24020137,Mouse Gamer RGB,Acessórios,Sudeste,9,"R$ 160,55","R$ 1.444,95"
2024-02-08,T-24020138,Webcam 1080p,Periféricos,Sul,3,"R$ 545,65","R$ 1.636,95"
2024-02-01,T-24020139,Fone Bluetooth,Áudio e Vídeo,Centro-Oeste,8,"R$ 270,20","R$ 2.161,60"
2024-02-10,T-24020140,Tablet Vision 10,Eletrônicos,Sudeste,8,"R$ 4.947,41","R$ 39.579,28"
2024-02-07,T-24020141,Teclado Wireless,Periféricos,Centro-Oeste,10,"R$ 328,15","R$ 3.281,50"
2024-02-18,T-24020142,Smartwatch Alpha,Eletrônicos,Sudeste,10,"R$ 4.167,80","R$ 41.678,00"
2024-02-23,T-24020143,Fone Bluetooth,Áudio e Vídeo,Sul,9,"R$ 533,04","R$ 4.797,36"
2024-02-01,T-24020144,Fone Bluetooth,Áudio e Vídeo,Norte,6,"R$ 335,37","R$ 2.012,22"
2024-02-11,T-24020145,Mouse Gamer RGB,Acessórios,Centro-Oeste,5,"R$ 76,46","R$ 382,30"
2024-02-25,T-24020146,Notebook Pro Z3,Eletrônicos,Nordeste,3,"R$ 3.682,61","R$ 11.047,83"
2024-02-11,T-24020147,Webcam 1080p,Periféricos,Norte,5,"R$ 886,53","R$ 4.432,65"
2024-02-16,T-24020148,Teclado Mecânico,Periféricos,Centro-Oeste,3,"R$ 971,48","R$ 2.914,44"
2024-02-21,T-24020149,Mouse Gamer RGB,Acessórios,Sul,5,"R$ 183,64","R$ 918,20"
2024-02-12,T-24020150,Placa de Vídeo Xtreme,Eletrônicos,Sudeste,4,"R$ 3.714,46","R$ 14.857,84"
2024-02-27,T-24020151,Teclado Wireless,Periféricos,Nordeste,7,"R$ 469,06","R$ 3.283,42"
2024-02-12,T-24020152,Câmera Full HD,Eletrônicos,Centro-Oeste,8,"R$ 2.932,45","R$ 23.459,60"
2024-02-22,T-24020153,HD Externo 2TB,Armazenamento,Sul,6,"R$ 586,58","R$ 3.519,48"
2024-02-17,T-24020154,Mouse Óptico,Acessórios,Norte,6,"R$ 204,35","R$ 1.226,10"
2024-02-22,T-24020155,Teclado Wireless,Periféricos,Sul,9,"R$ 334,75","R$ 3.012,75"
2024-02-02,T-24020156,Notebook X1,Eletrônicos,Nordeste,2,"R$ 4.096,61","R$ 8.193,22"
2024-02-24,T-24020157,Impressora Wi-Fi,Periféricos,Sudeste,8,"R$ 937,23","R$ 7.497,84"
2024-02-16,T-24020158,Teclado Wireless,Periféricos,Sul,2,"R$ 873,34","R$ 1.746,68"
2024-02-12,T-24020159,Câmera Full HD,Eletrônicos,Norte,3,"R$ 882,84","R$ 2.648,52"
2024-02-15,T-24020160,SSD Externo 1TB,Armazenamento,Sudeste,8,"R$ 919,38","R$ 7.355,04"
2024-02-06,T-24020161,Hub USB-C,Acessórios,Norte,5,"R$ 67,03","R$ 335,15"
2024-02-13,T-24020162,Mouse Óptico,Acessórios,Centro-Oeste,8,"R$ 270,80","R$ 2.166,40"
2024-02-05,T-24020163,Headset Gamer,Áudio e Vídeo,Nordeste,3,"R$ 421,74","R$ 1.265,22"
2024-02-05,T-24020164,Câmera Full HD,Eletrônicos,Centro-Oeste,9,"R$ 2.060,12","R$ 18.541,08"
2024-02-25,T-24020165,Caixa de Som Bluetooth,Áudio e Vídeo,Nordeste,7,"R$ 482,53","R$ 3.377,71"
2024-02-16,T-24020166,Hub USB-C,Acessórios,Centro-Oeste,7,"R$ 227,32","R$ 1.591,24"
2024-02-06,T-24020167,Teclado Mecânico,Periféricos,Sudeste,8,"R$ 1.226,42","R$ 9.811,36"
2024-02-13,T-24020168,Notebook X1,Eletrônicos,Sul,8,"R$ 1.516,54","R$ 12.132,32"
2024-02-20,T-24020169,Teclado Mecânico,Periféricos,Sudeste,10,"R$ 1.169,78","R$ 11.697,80"
2024-02-03,T-24020170,HD Externo 2TB,Armazenamento,Nordeste,7,"R$ 740,11","R$ 5.180,77"
2024-02-20,T-24020171,HD Externo 2TB,Armazenamento,Sudeste,8,"R$ 696,76","R$ 5.574,08"
2024-02-21,T-24020172,Caixa de Som Bluetooth,Áudio e Vídeo,Sul,4,"R$ 275,44","R$ 1.101,76"
2024-02-05,T-24020173,Impressora Wi-Fi,Periféricos,Nordeste,5,"R$ 466,42","R$ 2.332,10"
2024-02-15,T-24020174,Fone Bluetooth,Áudio e Vídeo,Sudeste,7,"R$ 514,85","R$ 3.603,95"
2024-02-27,T-24020175,Headset Gamer,Áudio e Vídeo,Sudeste,4,"R$ 323,91","R$ 1.295,64"
2024-02-22,T-24020176,Teclado Wireless,Periféricos,Sul,5,"R$ 200,99","R$ 1.004,95"
2024-02-19,T-24020177,Cabo HDMI 2m,Acessórios,Norte,5,"R$ 299,90","R$ 1.499,50"
2024-02-05,T-24020178,SSD Externo 1TB,Armazenamento,Norte,10,"R$ 620,60","R$ 6.206,00"
2024-02-25,T-24020179,Teclado Mecânico,Periféricos,Sudeste,4,"R$ 252,21","R$ 1.008,84"
2024-02-16,T-24020180,Smartwatch Alpha,Eletrônicos,Norte,8,"R$ 3.145,16","R$ 25.161,28"
2024-02-21,T-24020181,Hub USB-C,Acessórios,Norte,2,"R$ 239,16","R$ 478,32"
2024-02-26,T-24020182,Teclado Wireless,Periféricos,Sudeste,4,"R$ 969,03","R$ 3.876,12"
2024-02-28,T-24020183,Cabo HDMI 2m,Acessórios,Sudeste,4,"R$ 235,17","R$ 940,68"
2024-02-04,T-24020184,Webcam 1080p,Periféricos,Norte,5,"R$ 792,31","R$ 3.961,55"
2024-02-05,T-24020185,Tablet Vision 10,Eletrônicos,Sul,4,"R$ 5.835,07","R$ 23.340,28"
2024-02-27,T-24020186,Impressora Wi-Fi,Periféricos,Sul,3,"R$ 1.201,11","R$ 3.603,33"
2024-02-19,T-24020187,Hub USB-C,Acessórios,Sudeste,10,"R$ 249,88","R$ 2.498,80"
2024-02-05,T-24020188,Webcam 1080p,Periféricos,Nordeste,10,"R$ 418,56","R$ 4.185,60"
2024-02-12,T-24020189,Impressora Wi-Fi,Periféricos,Sudeste,7,"R$ 592,37","R$ 4.146,59"
2024-02-11,T-24020190,Caixa de Som Bluetooth,Áudio e Vídeo,Sudeste,3,"R$ 673,68","R$ 2.021,04"
2024-02-27,T-24020191,HD Externo 2TB,Armazenamento,Norte,4,"R$ 497,01","R$ 1.988,04"
2024-02-11,T-24020192,SSD Externo 1TB,Armazenamento,Sudeste,3,"R$ 655,86","R$ 1.967,58"
2024-02-07,T-24020193,Caixa de Som Bluetooth,Áudio e Vídeo,Nordeste,4,"R$ 695,27","R$ 2.781,08"
2024-02-10,T-24020194,Caixa de Som Bluetooth,Áudio e Vídeo,Nordeste,6,"R$ 281,72","R$ 1.690,32"
2024-02-14,T-24020195,Fone Bluetooth,Áudio e Vídeo,Sudeste,10,"R$ 266,47","R$ 2.664,70"
2024-02-26,T-24020196,Mouse Gamer RGB,Acessórios,Nordeste,3,"R$ 123,21","R$ 369,63"
2024-02-13,T-24020197,SSD Externo 1TB,Armazenamento,Norte,6,"R$ 725,49","R$ 4.352,94"
2024-02-04,T-24020198,Impressora Wi-Fi,Periféricos,Sudeste,10,"R$ 803,44","R$ 8.034,40"
2024-02-28,T-24020199,Notebook Pro Z3,Eletrônicos,Sudeste,7,"R$ 2.642,98","R$ 18.500,86"
2024-02-13,T-24020200,Câmera Full HD,Eletrônicos,Norte,9,"R$ 5.602,03","R$ 50.418,27"
